Disease,Chromosome,Gene,SNP
Abdominal Aortic Aneurysm,5,MTRR,rs326118
Abdominal Aortic Aneurysm,7,IL6,rs1800796
Abdominal Aortic Aneurysm,9,intergenic,rs10116277
Abdominal Aortic Aneurysm,9,intergenic,rs10757278
Abdominal Aortic Aneurysm,9,intergenic,rs10811661
Abdominal Aortic Aneurysm,14,MTHFD1,rs8003379
Intracranial Aneurysm,1,1p34-36,
Intracranial Aneurysm,2,BOLL,rs700651
Intracranial Aneurysm,5,CSPG2,rs173686
Intracranial Aneurysm,7,7q11,
Intracranial Aneurysm,8,intergenic,rs10958409
Intracranial Aneurysm,9,intergenic,rs10757278
Intracranial Aneurysm,9,intergenic,rs1333040
Intracranial Aneurysm,9,9p21,rs10116277
Intracranial Aneurysm,11,11q25,
Intracranial Aneurysm,14,14q23–q31,rs767603
Intracranial Aneurysm,19,19q13.1-13.3,
Atherosclerosis (hyperlipidemia),1,USF1,rs2516839
Atherosclerosis (hyperlipidemia),,,rs2073658
Atherosclerosis (hyperlipidemia),4,FGB,rs1800787
Atrial Fibrillation,1,EDN2,rs5800
Atrial Fibrillation,4,AF (4q25),rs10033464
Atrial Fibrillation,,,rs2200733
Atrial Fibrillation,6,6q14-16 region,
Atrial Fibrillation,10,10q22 region,
Cardiovascular disease,1,FMN2,rs17672135
Cardiovascular disease,1,PSRC1,rs599839
Cardiovascular disease,1,CRP,rs3091244
Cardiovascular disease,2,HSPD1,rs788016
Cardiovascular disease,,,rs2565163
Cardiovascular disease,,,rs2340690
Cardiovascular disease,2,HSPE1,rs2305560
Cardiovascular disease,5,intergenic,rs383830
Cardiovascular disease,6,MTHFD1L,rs6922269
Cardiovascular disease,7,NOS3,rs1799983
Cardiovascular disease,,,rs207044
Cardiovascular disease,,,rs1800779
Cardiovascular disease,,,rs1800783
Cardiovascular disease,9,intergenic,rs10757274
Cardiovascular disease,9,intergenic,rs2383206
Cardiovascular disease,10,intergenic,rs501120
Cardiovascular disease,11,MMP3,rs3025058
Cardiovascular disease,11,MYBPC3,
Cardiovascular disease,13,KL,rs9536314
