Disease,Chromosome,Gene,SNP
Acute intermittent porphyria,11,HMBS,
Acute intermittent porphyria,mtDNA,,
Congenital Erythropoietic Porphyria (Gunther disease),10,UROS,rs28941774
Congenital Erythropoietic Porphyria (Gunther disease),,,rs28941775
Cystic Fibrosis,7,CFTR,i3000001
G6PD Deficiency,X,G6PD,rs1050828
G6PD Deficiency,,,
Haemochromatosis,6,HFE,rs1800562
Haemochromatosis,,,rs1799945
Haemophilia,X,F8,
Haemophilia,X,F9,
Haemophilia,4,F11,i4000397
Haemophilia,,,i4000398
Haemophilia,,,i4000399
Huntington's disease,4,HTT,rs17781557
Nonsyndromic Deafness,A,KCNQ4,rs28937588
Nonsyndromic Deafness,,,rs28937589
Nonsyndromic Deafness,,,rs28939710
Nonsyndromic Deafness,4,WFS1,rs28937893
Nonsyndromic Deafness,4,DSPP,rs28929492
Nonsyndromic Deafness,5,TGBF1,
Nonsyndromic Deafness,11,TECTA,rs28939691
Nonsyndromic Deafness,,,rs28939690
Nonsyndromic Deafness,11,MYO7A,rs28934903
Nonsyndromic Deafness,13,GJB2,rs28931595
Nonsyndromic Deafness,,,i4000434
Nonsyndromic Deafness,,,i4000435
Nonsyndromic Deafness,14,COCH,rs28938175
Nonsyndromic Deafness,16,CRYM,rs28929490
Neurofibromatosis type II,22,NF2,
Polycystic kidney disease,16,PKD1,rs34197769
Polycystic kidney disease,,,rs40433
Polycystic kidney disease,6,PKHD1,rs28939383
Polycystic kidney disease,,,rs28937907
Polycystic kidney disease,,,Rs2435322
Sickle-cell Anemia,11,HBB,i3003137
Tay–Sachs disease,15,HEXA,i4000436
Tay–Sachs disease,,,i4000391
Tay–Sachs disease,,,i4000393
Tay–Sachs disease,,,i4000438
Tay–Sachs disease,,,i4000440
Tay–Sachs disease,,,i4000442
Variegate porphyria,1,PPOX,rs12735723
Variegate porphyria,,,rs28936676
Variegate porphyria,,,rs28936677
Wilson's disease,3,CP,rs701753
Wilson's disease,13,ATP7B,rs28942074
Wilson's disease,,,rs28942075
Wilson's disease,,,rs28942076
